Version;SupportBegin;SupportEnd
1.2.44;2025-02-06T22:09:49;2027-05-08T00:00:00
1.2.45;2025-03-08T13:05:52;2027-06-07T00:00:00
1.2.46;2025-05-18T00:00:00;2027-08-17T00:00:00
1.2.47;2025-05-18T00:00:00;2027-08-17T00:00:00
1.2.48;2025-05-18T00:00:00;2027-08-17T00:00:00
1.2.49;2025-05-18T00:00:00;2027-08-17T00:00:00
1.2.50;2025-05-18T00:00:00;2027-08-17T00:00:00
1.2.51;2025-05-19T00:00:00;2027-08-18T00:00:00
1.2.52;2025-05-19T00:00:00;2027-08-18T00:00:00
1.2.53;2025-05-19T00:00:00;2027-08-18T00:00:00
1.2.54;2025-05-19T00:00:00;2027-08-18T00:00:00
1.2.55;2025-05-19T00:00:00;2027-08-18T00:00:00
1.2.56;2025-05-24T00:00:00;2027-08-23T00:00:00
1.2.57;2025-05-24T00:00:00;2027-08-23T00:00:00
1.2.58;2025-07-03T00:00:00;2027-10-02T00:00:00
1.2.59;2025-09-26T00:00:00;2027-12-26T00:00:00
1.2.60;2025-09-29T00:00:00;2027-12-29T00:00:00
